科目,章节,题目,答案
生物,三十二、生物的生殖和发育,★鸟类卵细胞(受精后是受精卵)包括：____________；_________________；____________________。,细胞核(胚盘);细胞质(卵黄);细胞膜(卵黄膜)
生物,三十二、生物的生殖和发育,★鸟类卵细胞有保护功能的包括卵壳、卵壳膜、卵白、卵黄膜、系带(固定卵黄);有呼吸功能的是_______(在内外卵壳膜之间);,气室
生物,三十二、生物的生殖和发育,★鸟类卵细胞有营养功能的包括卵白(水分)、_______________________;胚盘是胚胎发育的部位。,卵黄(有机物)
生物,三十三、生物的遗传与变异,1.生物遗传：亲子间的________。例如：种瓜得瓜，种豆得豆。,相似性
生物,三十三、生物的遗传与变异,生物变异：亲子之间、子代个体之间的________。例如：一母生九子，连母十个样。,差异
生物,三十三、生物的遗传与变异,★生物的遗传和变异是通过_______________而实现的。亲代基因通过_______________遗传给子代，并控制子代的性状。,生殖和发育；生殖细胞(精子、卵细胞)
生物,三十三、生物的遗传与变异,2.性状：生物体的______________________________等特征统称为性状。,形态结构、生理和行为
生物,三十三、生物的遗传与变异,相对性状：________生物________性状的________表现形式(可以是多个，如人的血型)。,同种；同一；不同
生物,三十三、生物的遗传与变异,3.转基因超级鼠的培育得出结论：______________________________,基因控制生物的性状
生物,三十三、生物的遗传与变异,"4.细胞核中有_________,染色体由和________组成，________是有遗传效应的DNA片段。",染色体；蛋白质；DNA；基因
生物,三十三、生物的遗传与变异,★位置关系：细胞核>___________>______________>基因。,细胞核>染色体>DNA>基因
生物,三十三、生物的遗传与变异,5.每种生物体细胞内染色体的数目都是一定的。一般情况下，一个染色体含有一个DNA分子，一个DNA分子上有很多个基因，如：人的体细胞中含有46条染色体，包括46个DNA分子，含有数万对基因。★数量关系：______________________________,染色体=DNA<基因
生物,三十三、生物的遗传与变异,★在生物的________中染色体是________存在的，基因也是成对存在的，分别位于成对的染色体上。,体细胞；成对
生物,三十三、生物的遗传与变异,★在生物的_______________中染色体是________存在的，基因也是成单存在的。,生殖细胞；成单
生物,三十三、生物的遗传与变异,6.在形成精子和卵细胞的细胞分裂过程中，染色体都要减少一半，而且不是任意的一半，是每对染色体中各有一条进入精子或卵细胞。(________)保持了亲子代间染色体数目的恒定。,减数分裂
生物,三十三、生物的遗传与变异,"★染色体的数量变化可表示为：______________→________________→__________。人体细胞23对(46条),生殖细胞23条，受精卵23对(46条)",体细胞2n→生殖细胞n→受精
生物,三十三、生物的遗传与变异,7.相对性状有_______________和_______________两种。显性基因控制显性性状，隐性基因控制隐性性状。,显性性状；隐性性状
生物,三十三、生物的遗传与变异,基因用________字母表示，_______________基因用________字母表示。,大写；隐性；小写
生物,三十三、生物的遗传与变异,"8.基因Dd中，显性基因是________,隐性基因是,表现为显性性状的基因组成有_______________,表现为隐性性状的基因组成有_________。",D；d；DD、Dd；dd
生物,三十三、生物的遗传与变异,9.遗传图解：父亲的基因型___________母亲的基因型__________，子代基因型比例为AA:Aa:aa=1:2:1；子代显性性状：隐性性状=3:1,Aa；Aa
生物,三十三、生物的遗传与变异,10.我国婚姻法规定：直系血亲和_____________________________________________________,直系血亲和三代以内的旁系血亲之间禁止结婚
生物,三十三、生物的遗传与变异,禁止近亲结婚原因：近亲结婚会_____________________________________________,增大后代患隐性遗传病的概率
生物,三十三、生物的遗传与变异,"★遗传病：由_______________________而引起或由________控制的疾病，可遗传给后代。
常染色体隐性遗传病：白化病、苯丙酮尿症；
伴X染色体隐性遗传病：红绿色盲、血友病；
显性遗传病：多指、并指、抗维生素D佝偻病等；
染色体变异：21-三体综合征(唐氏综合征)",遗传物质发生变化；致病基因
生物,三十三、生物的遗传与变异,"11.性染色体是指在体细胞中能决定性别的染色体，在人的体细胞中，性染色体有2条。
(1)在体细胞中，染色体成对出现，基因也成对出现，位于成对的染色体上。
人体有22对常染色体和1对性染色体。
女性体细胞中的性染色体为___________,染色体为_______________",性染色体为XX；22对+XX;
生物,三十三、生物的遗传与变异,"男性体细胞中的性染色体为___________,染色体为_______________。",XY；22对+XY
生物,三十三、生物的遗传与变异,"(2)在形成精子或卵细胞时，染色体减少一半，染色体单条存在，基因也单个存在。
卵细胞中的性染色体为______,染色体为_______________
精子中的性染色体为______或______,染色体为_____________","女性体细胞中的性染色体为XX,染色体为22对+XX;
男性体细胞中的性染色体为XY染色体为22对+XY。"
生物,三十三、生物的遗传与变异,★两种精子和卵细胞结合的机会均等→______________________________,生男生女的机会均等
生物,三十三、生物的遗传与变异,★父亲将_____染色体传给儿子，将_____染色体传给女儿。,★父亲只能将Y染色体传给儿子，将X染色体传给女儿。
生物,三十三、生物的遗传与变异,12.变异是普遍存在的。引起变异的原因有基因和环境两方面。,12.变异是普遍存在的。引起变异的原因有基因和环境两方面。
生物,三十三、生物的遗传与变异,根据遗传性分：________的变异：________由外界环境影响引起的的变异：,不遗传；单纯；
生物,三十三、生物的遗传与变异,"根据遗传性分：________的变异：由遗传物质改变引起________、________、________。
根据对生物个体的意义分有利变异：适应环境的有利于生物生存的变异不利变异：不适应环境的不利于生物生存的变异类型",可遗传；基因突变、基因重组、染色体变异
生物,三十三、生物的遗传与变异,"★在农业生产上的应用：培育生物新品种
______育种：高产奶牛(基因重组);杂交育种：高产抗倒伏小麦、杂交水稻(基因重组)
______育种：太空椒可遗传(基因突变);转基因育种：抗虫棉、抗冻番茄(转基因)
______育种：高糖甜菜、无籽西瓜(染色体变异)",人工选择；诱变育种；多倍体育种
生物,三十四、生物的进化,"1.原始生命起源于非生命物质，过程如下：无机物→_________有机物→_________有机物→原始生命。
★米勒的模拟实验证明了原始地球上尽管不能形成原始生命，但能产生构成生物体的有机物(小分子有机物氨基酸等);
能量条件：高温、紫外线、雷电等；
场所：原始大气。",无机物→小分子有机物→大分子有机物→原始生命。
生物,三十四、生物的进化,★原始大气中与现在大气明显的区别是_______________。原始生命诞生于______________。,没有氧气；原始海洋
生物,三十四、生物的进化,2.生物进化的总体趋势：从________到_________，从________到____________，从________到_____________。,从水生到陆生，从简单到复杂，从低等到高等
生物,三十四、生物的进化,3.自然选择：自然界中的生物，通过激烈的生存斗争，适应者_________，不适应者被_________。,适应者生存，不适应者被淘汰
生物,三十四、生物的进化,4._______________进化论：__________________________________________________________________________________________________,"达尔文；过度繁殖(前提),遗传变异(基础)，生存斗争(动力),适者生存(结果)。"
生物,三十四、生物的进化,5.生物进化的原因：生物通过_______________和_______________而不断进化。,遗传、变异和；自然选择
生物,三十五、健康的生活,1.传染病是指由________引起的，能在人与人之间或人与动物之间传播的疾病(特点：传染性和流行性)。,病原体
